Playlist ID,Add new videos to top,Playlist Title (Original),Playlist Title (Original) Language,Playlist Create Timestamp,Playlist Update Timestamp,Playlist Video Order,Playlist Visibility
PLzSc_YPhtRJjQu93PXJNUKDvxEo-U7ZJW,False,News,,2023-04-20T00:27:54+00:00,2024-10-05T17:54:26+00:00,Manual,Private
PLzSc_YPhtRJjjth2pVSLj0A_8Q1jW9p1C,True,Watch later,en_US,2023-02-16T02:34:37+00:00,2024-10-03T06:34:10+00:00,Manual,Private





